,City,Country,Lat,Lng,Max Temp (Celsius),Humidity %,Cloudiness %,Wind Speed (kmph),Date
0,Ardakān,IR,32.31,54.0175,16.0,25,0,1.03,2021-04-20 02:23:52
1,Vaini,TO,-21.2,-175.2,29.0,70,20,5.14,2021-04-20 02:20:04
2,Nizhneangarsk,RU,55.7833,109.55,-1.51,88,100,4.36,2021-04-20 02:23:55
3,Jamestown,US,42.097,-79.2353,9.44,87,90,2.57,2021-04-20 02:23:57
4,Loknya,RU,56.83,30.1467,6.2,73,100,2.3,2021-04-20 02:23:58
5,Nome,US,64.5011,-165.4064,2.0,55,1,12.86,2021-04-20 02:24:00
6,Jiaojiang,CN,28.6803,121.4428,20.0,39,100,1.34,2021-04-20 02:24:01
7,Busselton,AU,-33.65,115.3333,17.22,84,94,0.45,2021-04-20 02:24:02
8,Bluff,NZ,-46.6,168.3333,20.0,53,0,2.24,2021-04-20 02:21:25
9,Rikitea,PF,-23.1203,-134.9692,25.65,71,4,3.91,2021-04-20 02:24:05
10,Mar del Plata,AR,-38.0023,-57.5575,19.44,88,0,5.14,2021-04-20 02:24:06
11,Yellowknife,CA,62.456,-114.3525,-1.0,80,20,4.63,2021-04-20 02:24:07
12,Mataura,NZ,-46.1927,168.8643,20.0,53,1,1.79,2021-04-20 02:19:56
13,Saldanha,ZA,-33.0117,17.9442,18.0,63,1,0.51,2021-04-20 02:24:10
14,Itacurubí del Rosario,PY,-24.5,-56.6833,21.81,58,24,1.95,2021-04-20 02:24:11
15,Nassau,US,40.7507,-73.5829,13.33,71,90,2.06,2021-04-20 02:24:12
16,Necochea,AR,-38.5473,-58.7368,16.67,86,6,5.36,2021-04-20 02:24:13
17,Conceição da Barra,BR,-18.5933,-39.7322,22.77,93,100,2.84,2021-04-20 02:24:17
18,East London,ZA,-33.0153,27.9116,17.76,80,100,4.29,2021-04-20 02:21:26
19,Forio,IT,40.7342,13.8646,7.22,100,20,4.52,2021-04-20 02:24:21
20,Oruzgan,AF,32.8333,66.0,14.8,33,4,1.03,2021-04-20 02:24:23
21,Bredasdorp,ZA,-34.5322,20.0403,14.0,82,37,5.66,2021-04-20 02:24:24
22,Esperance,AU,-33.8667,121.9,16.0,100,90,3.6,2021-04-20 02:24:25
